numdomains,numns,asncount,countrycount
6706,1,1,1
2,1,1,2
25,1,2,1
22,1,2,2
1,1,3,1
7,1,4,1
172328,2,1,1
496,2,1,2
1,2,1,3
12417,2,2,1
25693,2,2,2
96,2,2,3
364,2,2,4
237,2,3,1
200,2,3,2
81,2,3,3
17,2,3,4
1304,2,4,1
2,2,4,2
3,2,5,1
11,2,5,3
22,2,7,2
16985,3,1,1
276,3,1,2
94,3,1,3
3549,3,2,1
4409,3,2,2
1345,3,2,3
1938,3,3,1
5174,3,3,2
330,3,3,3
23,3,3,4
148,3,4,1
123,3,4,2
5,3,4,3
2,3,4,4
3,3,5,2
22862,4,1,1
100,4,1,2
22,4,1,3
351,4,1,4
5030,4,2,1
18802,4,2,2
181,4,2,3
2912,4,3,1
18932,4,3,2
428,4,3,3
15,4,3,4
13,4,3,5
102,4,4,1
221,4,4,2
234,4,4,3
146,4,4,4
358,4,4,5
6,4,5,1
451,4,5,2
1,4,5,3
157,4,5,4
13,4,5,5
2402,5,1,1
3,5,1,2
60,5,1,3
9,5,1,5
701,5,2,1
53,5,2,2
53,5,2,3
3,5,2,4
212,5,3,1
2762,5,3,2
565,5,3,3
49,5,3,4
165,5,4,1
16,5,4,2
28,5,4,3
20,5,4,4
2,5,5,2
7,5,5,3
102,5,5,4
2,5,5,5
6,5,6,3
45,5,6,4
45,5,6,5
667,6,1,1
12,6,1,2
4,6,1,3
196,6,2,1
22,6,2,2
17,6,2,3
3,6,2,4
111,6,3,1
1,6,3,2
28,6,3,3
1,6,3,4
1,6,3,5
13,6,4,1
1,6,4,2
1,6,4,3
3,6,4,4
3,6,4,5
1,6,5,2
1,6,5,3
1,6,5,4
1,6,5,5
1,6,7,5
18,7,1,1
29,7,2,1
6,7,2,2
2,7,2,3
2,7,2,4
308,7,3,1
60,7,3,3
2,7,4,2
1,7,4,3
3,7,4,4
5,7,5,1
1,7,5,3
24,8,1,1
2,8,1,3
5,8,2,1
17,8,2,2
2,8,2,3
4,8,2,4
1,8,3,1
1,8,3,2
1,8,4,1
1,8,4,3
1,8,4,5
16,9,1,1
19,9,2,2
1,9,2,3
2,9,3,1
4,9,3,4
1,9,4,4
80,9,4,5
4,9,5,5
3,9,5,6
6,9,6,6
27,9,7,7
14,9,8,7
3,10,1,1
4,10,2,1
5,10,2,2
1,10,3,3
2,10,3,4
1,10,4,3
1,10,5,5
1,10,7,6
1,10,8,7
1,10,9,8
3,11,2,2
1,11,3,1
2,11,3,4
3,11,4,4
4,11,4,5
10,11,5,5
7,11,5,6
1,11,6,2
22,11,6,6
1,12,1,1
7,12,7,6
1,13,3,1
1,13,3,4
1,13,4,4
2,13,4,5
2,13,5,5
1,13,5,6
1,13,6,5
10,13,6,6
27,13,7,6
4,13,7,7
1,14,1,1
3,14,3,4
1,14,4,4
5,14,4,5
4,14,5,5
8,14,5,6
6,14,6,6
1,14,7,6
7,14,7,7
4,14,8,7
1,15,7,6
1,16,8,7
1,20,2,1
1,26,1,1
