numdomains,numns,asncount,countrycount
7487,1,1,1
2,1,1,2
36,1,2,1
38,1,2,2
1,1,3,1
9,1,4,1
195213,2,1,1
989,2,1,2
2,2,1,3
1,2,1,4
16354,2,2,1
22352,2,2,2
103,2,2,3
508,2,2,4
318,2,3,1
208,2,3,2
81,2,3,3
15,2,3,4
1788,2,4,1
13,2,4,2
1,2,4,3
22,2,5,3
1,2,6,3
1,2,7,1
69,2,7,2
1,2,7,3
1,2,8,1
1,2,8,2
20541,3,1,1
530,3,1,2
138,3,1,3
3914,3,2,1
5164,3,2,2
1564,3,2,3
2509,3,3,1
11574,3,3,2
511,3,3,3
30,3,3,4
334,3,4,1
160,3,4,2
10,3,4,3
29,3,4,4
6,3,5,2
3,3,5,3
4,3,8,3
25263,4,1,1
158,4,1,2
20,4,1,3
441,4,1,4
9540,4,2,1
20336,4,2,2
218,4,2,3
3,4,2,4
3460,4,3,1
18375,4,3,2
452,4,3,3
100,4,3,4
13,4,3,5
287,4,4,1
449,4,4,2
90,4,4,3
218,4,4,4
360,4,4,5
6,4,5,1
465,4,5,2
2,4,5,3
104,4,5,4
18,4,5,5
29,4,6,4
166,4,6,5
2,4,7,5
6,4,8,8
2840,5,1,1
38,5,1,2
71,5,1,3
29,5,1,5
766,5,2,1
104,5,2,2
28,5,2,3
252,5,3,1
2409,5,3,2
601,5,3,3
39,5,3,4
1,5,3,5
465,5,4,1
27,5,4,2
38,5,4,3
42,5,4,4
11,5,5,1
2,5,5,2
17,5,5,3
114,5,5,4
5,5,5,5
2,5,6,1
4,5,6,3
55,5,6,4
49,5,6,5
1,5,7,6
1023,6,1,1
13,6,1,2
3,6,1,3
172,6,2,1
34,6,2,2
19,6,2,3
3,6,2,4
1,6,2,5
84,6,3,1
4,6,3,2
57,6,3,3
30,6,3,4
40,6,4,1
7,6,4,2
48,6,4,3
5,6,4,4
2,6,4,5
2,6,5,1
1,6,5,2
2,6,5,3
1,6,5,4
31,6,5,5
52,6,6,1
1,6,6,2
3,6,6,5
1,6,6,6
2,6,7,5
23,7,1,1
41,7,2,1
16,7,2,2
2,7,2,3
8,7,2,4
408,7,3,1
5,7,3,2
72,7,3,3
1,7,3,5
16,7,4,1
1,7,4,2
2,7,4,3
4,7,4,4
21,7,5,1
1,7,5,6
1,7,6,2
32,8,1,1
9,8,1,3
22,8,2,1
22,8,2,2
24,8,2,3
4,8,2,4
1,8,2,5
8,8,3,1
2,8,3,2
1,8,3,3
2,8,3,4
1,8,3,5
1,8,4,1
1,8,4,2
1,8,4,3
1,8,4,4
1,8,4,5
1,8,5,4
1,8,6,1
2,8,6,4
3,8,6,6
1,8,7,1
4,8,7,6
7,8,8,7
16,9,1,1
5,9,2,1
44,9,2,2
5,9,2,3
3,9,3,1
3,9,3,4
2,9,4,4
8,9,4,5
79,9,5,5
3,9,5,6
1,9,6,4
1,9,6,5
27,9,6,6
1,9,7,3
2,9,7,4
9,9,7,6
8,9,8,7
4,9,9,8
13,10,1,1
12,10,2,1
10,10,2,2
1,10,2,4
1,10,3,2
1,10,3,3
1,10,3,4
1,10,4,3
2,10,5,1
1,10,5,5
3,10,7,2
1,10,7,6
1,10,7,7
2,10,8,7
1,11,3,1
3,11,3,4
5,11,4,4
11,11,4,5
1,11,5,1
5,11,5,5
6,11,5,6
23,11,6,6
1,11,7,6
1,12,2,2
1,12,2,4
1,12,3,2
2,12,6,5
1,12,7,2
5,12,7,6
1,13,3,1
1,13,4,1
3,13,4,4
4,13,4,5
3,13,5,5
1,13,5,6
11,13,6,6
37,13,7,6
1,13,17,6
1,14,2,1
5,14,2,4
5,14,3,4
4,14,4,4
9,14,4,5
4,14,5,5
1,14,5,6
1,14,6,5
11,14,6,6
3,14,7,6
2,15,1,1
1,15,7,6
1,16,2,4
1,20,2,1
